DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Sacramento City Unified,Earl Warren Elementary,Sacramento City Unified_Earl Warren Elementary,#N/A,TRUE,3
Sacramento City Unified,Washington Elementary,Sacramento City Unified_Washington Elementary,#N/A,TRUE,23
Natomas Unified,Jefferson Elementary,Natomas Unified_Jefferson Elementary,#N/A,TRUE,22
Colton Joint Unified,Abraham Lincoln Elementary,Colton Joint Unified_Abraham Lincoln Elementary,#N/A,TRUE,7
Hesperia Unified,Juniper Elementary,Hesperia Unified_Juniper Elementary,#N/A,TRUE,3
Hesperia Unified,Maple Elementary,Hesperia Unified_Maple Elementary,#N/A,TRUE,5
Redlands Unified,Franklin Elementary,Redlands Unified_Franklin Elementary,#N/A,TRUE,14
San Bernardino City Unified,Roosevelt Elementary,San Bernardino City Unified_Roosevelt Elementary,#N/A,TRUE,15
San Bernardino City Unified,Lincoln Elementary,San Bernardino City Unified_Lincoln Elementary,#N/A,TRUE,25
Fontana Unified,Juniper Elementary,Fontana Unified_Juniper Elementary,#N/A,TRUE,3
Fontana Unified,Chaparral Elementary,Fontana Unified_Chaparral Elementary,#N/A,TRUE,6
Fontana Unified,Live Oak Elementary,Fontana Unified_Live Oak Elementary,#N/A,TRUE,4
Fontana Unified,Hemlock Elementary,Fontana Unified_Hemlock Elementary,#N/A,TRUE,2
Victor Elementary,Del Rey Elementary,Victor Elementary_Del Rey Elementary,#N/A,TRUE,5
San Bernardino City Unified,Cole Elementary,San Bernardino City Unified_Cole Elementary,#N/A,TRUE,2
San Bernardino City Unified,Hunt Elementary,San Bernardino City Unified_Hunt Elementary,#N/A,TRUE,2
South Bay Union,Central Elementary,South Bay Union_Central Elementary,#N/A,TRUE,8
South Bay Union,Sunnyslope Elementary,South Bay Union_Sunnyslope Elementary,#N/A,TRUE,2
Carlsbad Unified,Jefferson Elementary,Carlsbad Unified_Jefferson Elementary,#N/A,TRUE,22
Escondido Union,Lincoln Elementary,Escondido Union_Lincoln Elementary,#N/A,TRUE,25
Cajon Valley Union,Magnolia Elementary,Cajon Valley Union_Magnolia Elementary,#N/A,TRUE,6
Cajon Valley Union,Montgomery Middle,Cajon Valley Union_Montgomery Middle,#N/A,TRUE,3
Lemon Grove,San Miguel Elementary,Lemon Grove_San Miguel Elementary,#N/A,TRUE,4
La Mesa-Spring Valley,Highlands Elementary,La Mesa-Spring Valley_Highlands Elementary,#N/A,TRUE,4
Vista Unified,Roosevelt Middle,Vista Unified_Roosevelt Middle,#N/A,TRUE,4
Oceanside Unified,Mission Elementary,Oceanside Unified_Mission Elementary,#N/A,TRUE,3
Oceanside Unified,Laurel Elementary,Oceanside Unified_Laurel Elementary,#N/A,TRUE,5
Poway Unified,Chaparral Elementary,Poway Unified_Chaparral Elementary,#N/A,TRUE,6
Escondido Union,Miller Elementary,Escondido Union_Miller Elementary,#N/A,TRUE,2
Ramona City Unified,Ramona Elementary,Ramona City Unified_Ramona Elementary,#N/A,TRUE,6
San Diego Unified,Carver Elementary,San Diego Unified_Carver Elementary,#N/A,TRUE,4
San Diego Unified,Balboa Elementary,San Diego Unified_Balboa Elementary,#N/A,TRUE,2
San Diego Unified,Bandini Elementary ,San Diego Unified_Bandini Elementary,#N/A,TRUE,1
San Diego Unified,Valencia Park Elementary,San Diego Unified_Valencia Park Elementary,#N/A,TRUE,2
San Diego Unified,Adams Elementary,San Diego Unified_Adams Elementary,#N/A,TRUE,5
San Diego Unified,Washington Elementary,San Diego Unified_Washington Elementary,#N/A,TRUE,23
San Diego Unified,Jefferson Elementary,San Diego Unified_Jefferson Elementary,#N/A,TRUE,22
San Diego Unified,Hamilton Elementary,San Diego Unified_Hamilton Elementary,#N/A,TRUE,5
San Diego Unified,Marshall Elementary,San Diego Unified_Marshall Elementary,#N/A,TRUE,3
San Diego Unified,Burbank Elementary,San Diego Unified_Burbank Elementary,#N/A,TRUE,4
San Diego Unified,Central Elementary,San Diego Unified_Central Elementary,#N/A,TRUE,8
San Diego Unified,Linda Vista Elementary,San Diego Unified_Linda Vista Elementary,#N/A,TRUE,4
San Diego Unified,Vista Grande Elementary,San Diego Unified_Vista Grande Elementary,#N/A,TRUE,4
San Diego Unified,Wilson Middle,San Diego Unified_Wilson Middle,#N/A,TRUE,3
San Diego Unified,Alcott Elementary,San Diego Unified_Alcott Elementary,#N/A,TRUE,2
San Diego Unified,Montgomery Middle,San Diego Unified_Montgomery Middle,#N/A,TRUE,3
San Diego Unified,Sequoia Elementary,San Diego Unified_Sequoia Elementary,#N/A,TRUE,9
Vista Unified,Vista High,Vista Unified_Vista High,#N/A,TRUE,2
Cajon Valley Union,Vista Grande Elementary,Cajon Valley Union_Vista Grande Elementary,#N/A,TRUE,4
Grossmont Union High,Monte Vista High,Grossmont Union High_Monte Vista High,#N/A,TRUE,2
San Francisco Unified,McKinley Elementary,San Francisco Unified_McKinley Elementary,#N/A,TRUE,18
San Francisco Unified,Sunnyside Elementary,San Francisco Unified_Sunnyside Elementary,#N/A,TRUE,4
San Francisco Unified,Jefferson Elementary,San Francisco Unified_Jefferson Elementary,#N/A,TRUE,22
San Francisco Unified,Monroe Elementary,San Francisco Unified_Monroe Elementary,#N/A,TRUE,7
San Francisco Unified,Marshall Elementary,San Francisco Unified_Marshall Elementary,#N/A,TRUE,3
San Francisco Unified,Sunset Elementary,San Francisco Unified_Sunset Elementary,#N/A,TRUE,6
San Francisco Unified,Roosevelt Middle,San Francisco Unified_Roosevelt Middle,#N/A,TRUE,4
San Francisco Unified,Alvarado Elementary,San Francisco Unified_Alvarado Elementary,#N/A,TRUE,3
San Francisco Unified,Independence High,San Francisco Unified_Independence High,#N/A,TRUE,4
Stockton Unified,Harrison Elementary,Stockton Unified_Harrison Elementary,#N/A,TRUE,2
Stockton Unified,Madison Elementary,Stockton Unified_Madison Elementary,#N/A,TRUE,10
Stockton Unified,McKinley Elementary,Stockton Unified_McKinley Elementary,#N/A,TRUE,18
Stockton Unified,Monroe Elementary,Stockton Unified_Monroe Elementary,#N/A,TRUE,7
Stockton Unified,Roosevelt Elementary,Stockton Unified_Roosevelt Elementary,#N/A,TRUE,15
Stockton Unified,George Washington Elementary,Stockton Unified_George Washington Elementary,#N/A,TRUE,7
Stockton Unified,Wilson Elementary,Stockton Unified_Wilson Elementary,#N/A,TRUE,15
Stockton Unified,John C. Fremont Elementary,Stockton Unified_John C. Fremont Elementary,#N/A,TRUE,4
Lodi Unified,Lakewood Elementary,Lodi Unified_Lakewood Elementary,#N/A,TRUE,3
Lodi Unified,Liberty High,Lodi Unified_Liberty High,#N/A,TRUE,3
Lodi Unified,George Washington Elementary,Lodi Unified_George Washington Elementary,#N/A,TRUE,7
Manteca Unified,Lincoln Elementary,Manteca Unified_Lincoln Elementary,#N/A,TRUE,25
Manteca Unified,Shasta Elementary,Manteca Unified_Shasta Elementary,#N/A,TRUE,3
Tracy Joint Unified,McKinley Elementary,Tracy Joint Unified_McKinley Elementary,#N/A,TRUE,18
Lodi Unified,Westwood Elementary,Lodi Unified_Westwood Elementary,#N/A,TRUE,5
Lodi Unified,Sutherland Elementary,Lodi Unified_Sutherland Elementary,#N/A,TRUE,2
Lucia Mar Unified,Ocean View Elementary,Lucia Mar Unified_Ocean View Elementary,#N/A,TRUE,3
Burlingame Elementary,Franklin Elementary,Burlingame Elementary_Franklin Elementary,#N/A,TRUE,14
Burlingame Elementary,Lincoln Elementary,Burlingame Elementary_Lincoln Elementary,#N/A,TRUE,25
Burlingame Elementary,Roosevelt Elementary,Burlingame Elementary_Roosevelt Elementary,#N/A,TRUE,15
Burlingame Elementary,McKinley Elementary,Burlingame Elementary_McKinley Elementary,#N/A,TRUE,18
Burlingame Elementary,Washington Elementary,Burlingame Elementary_Washington Elementary,#N/A,TRUE,23
Redwood City Elementary,Garfield Elementary,Redwood City Elementary_Garfield Elementary,#N/A,TRUE,10
San Carlos Elementary,Central Middle,San Carlos Elementary_Central Middle,#N/A,TRUE,3
Jefferson Elementary,George Washington Elementary,Jefferson Elementary_George Washington Elementary,#N/A,TRUE,7
Jefferson Elementary,Susan B. Anthony Elementary,Jefferson Elementary_Susan B. Anthony Elementary,#N/A,TRUE,5
Brisbane Elementary,Panorama Elementary,Brisbane Elementary_Panorama Elementary,#N/A,TRUE,2
Hope Elementary,Monte Vista Elementary,Hope Elementary_Monte Vista Elementary,#N/A,TRUE,9
Orcutt Union Elementary,Pine Grove Elementary,Orcutt Union Elementary_Pine Grove Elementary,#N/A,TRUE,2
Ballard Elementary,Ballard Elementary,Ballard Elementary_Ballard Elementary,#N/A,TRUE,2
Fremont Union High,Fremont High,Fremont Union High_Fremont High,#N/A,TRUE,2
Mountain View-Los Altos Union High,Los Altos High,Mountain View-Los Altos Union High_Los Altos High,#N/A,TRUE,2
Orchard Elementary,Orchard Elementary,Orchard Elementary_Orchard Elementary,#N/A,TRUE,4
Saratoga Union Elementary,Foothill Elementary,Saratoga Union Elementary_Foothill Elementary,#N/A,TRUE,6
Saratoga Union Elementary,Redwood Middle,Saratoga Union Elementary_Redwood Middle,#N/A,TRUE,3
San Jose Unified,Bret Harte Middle,San Jose Unified_Bret Harte Middle,#N/A,TRUE,3
San Jose Unified,Grant Elementary,San Jose Unified_Grant Elementary,#N/A,TRUE,9
San Jose Unified,John Muir Middle,San Jose Unified_John Muir Middle,#N/A,TRUE,4
Franklin-McKinley Elementary,Bridges Academy,Franklin-McKinley Elementary_Bridges Academy,#N/A,TRUE,3
Franklin-McKinley Elementary,McKinley Elementary,Franklin-McKinley Elementary_McKinley Elementary,#N/A,TRUE,18
Berryessa Union Elementary,Northwood Elementary,Berryessa Union Elementary_Northwood Elementary,#N/A,TRUE,4
Alum Rock Union Elementary,Linda Vista Elementary,Alum Rock Union Elementary_Linda Vista Elementary,#N/A,TRUE,4
Alum Rock Union Elementary,San Antonio Elementary,Alum Rock Union Elementary_San Antonio Elementary,#N/A,TRUE,3
Cupertino Union,John Muir Elementary,Cupertino Union_John Muir Elementary,#N/A,TRUE,8
Santa Clara Unified,Washington Elementary,Santa Clara Unified_Washington Elementary,#N/A,TRUE,23
Sunnyvale,Lakewood Elementary,Sunnyvale_Lakewood Elementary,#N/A,TRUE,3
Sunnyvale,San Miguel Elementary,Sunnyvale_San Miguel Elementary,#N/A,TRUE,4
Evergreen Elementary,Evergreen Elementary,Evergreen Elementary_Evergreen Elementary,#N/A,TRUE,5
San Lorenzo Valley Unified,Boulder Creek Elementary,San Lorenzo Valley Unified_Boulder Creek Elementary,#N/A,TRUE,2
Redding Elementary,Sequoia Middle,Redding Elementary_Sequoia Middle,#N/A,TRUE,7
Bella Vista Elementary,Bella Vista Elementary,Bella Vista Elementary_Bella Vista Elementary,#N/A,TRUE,5
Columbia Elementary,Columbia Elementary,Columbia Elementary_Columbia Elementary,#N/A,TRUE,6
Yreka Union Elementary,Evergreen Elementary,Yreka Union Elementary_Evergreen Elementary,#N/A,TRUE,5
Fairfield-Suisun Unified,Fairview Elementary,Fairfield-Suisun Unified_Fairview Elementary,#N/A,TRUE,6
Fairfield-Suisun Unified,Crescent Elementary,Fairfield-Suisun Unified_Crescent Elementary,#N/A,TRUE,2
Vallejo City Unified,Lincoln Elementary,Vallejo City Unified_Lincoln Elementary,#N/A,TRUE,25
Rincon Valley Union Elementary,Sequoia Elementary,Rincon Valley Union Elementary_Sequoia Elementary,#N/A,TRUE,9
Cotati-Rohnert Park Unified,Evergreen Elementary,Cotati-Rohnert Park Unified_Evergreen Elementary,#N/A,TRUE,5
Cotati-Rohnert Park Unified,Monte Vista Elementary,Cotati-Rohnert Park Unified_Monte Vista Elementary,#N/A,TRUE,9
Mark West Union Elementary,San Miguel Elementary,Mark West Union Elementary_San Miguel Elementary,#N/A,TRUE,4
Sylvan Union Elementary,Orchard Elementary,Sylvan Union Elementary_Orchard Elementary,#N/A,TRUE,4
Modesto City Elementary,Bret Harte Elementary,Modesto City Elementary_Bret Harte Elementary,#N/A,TRUE,4
Modesto City Elementary,Burbank Elementary,Modesto City Elementary_Burbank Elementary,#N/A,TRUE,4
Modesto City Elementary,Franklin Elementary,Modesto City Elementary_Franklin Elementary,#N/A,TRUE,14
Oakdale Joint Unified,Fair Oaks Elementary,Oakdale Joint Unified_Fair Oaks Elementary,#N/A,TRUE,3
Oakdale Joint Unified,Sierra View Elementary,Oakdale Joint Unified_Sierra View Elementary,#N/A,TRUE,3
Riverbank Unified,California Avenue Elementary,Riverbank Unified_California Avenue Elementary,#N/A,TRUE,2
Yuba City Unified,Lincoln Elementary,Yuba City Unified_Lincoln Elementary,#N/A,TRUE,25
Franklin Elementary,Franklin Elementary,Franklin Elementary_Franklin Elementary,#N/A,TRUE,14
Dinuba Unified,Lincoln Elementary,Dinuba Unified_Lincoln Elementary,#N/A,TRUE,25
Dinuba Unified,Wilson Elementary,Dinuba Unified_Wilson Elementary,#N/A,TRUE,15
Lindsay Unified,Lincoln Elementary,Lindsay Unified_Lincoln Elementary,#N/A,TRUE,25
Lindsay Unified,Roosevelt Elementary,Lindsay Unified_Roosevelt Elementary,#N/A,TRUE,15
Lindsay Unified,Washington Elementary,Lindsay Unified_Washington Elementary,#N/A,TRUE,23
Porterville Unified,Pioneer Middle,Porterville Unified_Pioneer Middle,#N/A,TRUE,3
Porterville Unified,Sequoia Middle,Porterville Unified_Sequoia Middle,#N/A,TRUE,7
Porterville Unified,Monte Vista Elementary,Porterville Unified_Monte Vista Elementary,#N/A,TRUE,9
Tulare City,Maple Elementary,Tulare City_Maple Elementary,#N/A,TRUE,5
Tulare City,Lincoln Elementary,Tulare City_Lincoln Elementary,#N/A,TRUE,25
Tulare City,Wilson Elementary,Tulare City_Wilson Elementary,#N/A,TRUE,15
Visalia Unified,Royal Oaks Elementary,Visalia Unified_Royal Oaks Elementary,#N/A,TRUE,2
Visalia Unified,Washington Elementary,Visalia Unified_Washington Elementary,#N/A,TRUE,23
Ocean View,Mar Vista Elementary,Ocean View_Mar Vista Elementary,#N/A,TRUE,2
Oxnard,Rose Avenue Elementary,Oxnard_Rose Avenue Elementary,#N/A,TRUE,2
Ventura Unified,Will Rogers Elementary,Ventura Unified_Will Rogers Elementary,#N/A,TRUE,3
Ventura Unified,Loma Vista Elementary,Ventura Unified_Loma Vista Elementary,#N/A,TRUE,4
Oak Park Unified,Brookside Elementary,Oak Park Unified_Brookside Elementary,#N/A,TRUE,4
Davis Joint Unified,Pioneer Elementary,Davis Joint Unified_Pioneer Elementary,#N/A,TRUE,7
Davis Joint Unified,Cesar Chavez Elementary,Davis Joint Unified_Cesar Chavez Elementary,#N/A,TRUE,6
,Arvin High,_Arvin High,#N/A,FALSE,2
,Sycamore Rocks Elementary,_Sycamore Rocks Elementary,#N/A,FALSE,1
,Jardin de la Infancia,_Jardin de la Infancia,#N/A,FALSE,1
,Larchmont Charter,_Larchmont Charter,#N/A,FALSE,2
,ICEF Vista Middle Academy,_ICEF Vista Middle Academy,#N/A,FALSE,2
,Vista del Mar Middle,_Vista del Mar Middle,#N/A,FALSE,2
California School for the Blind (State Special Schl),California School for the Blind,California School for the Blind (State Special Schl)_California School for the Blind,tested,FALSE,1
California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl)_California School for the Deaf-Fremont,tested,FALSE,1
,St. Edward Parish,_St. Edward Parish,#N/A,FALSE,1
Newark Unified,Whiteford (June) Special Education Preschool,Newark Unified_Whiteford (June) Special Education Preschool,tested,FALSE,1
Newark Unified,Newark Junior High,Newark Unified_Newark Junior High,tested,FALSE,1
Newark Unified,Bridgepoint High (Continuation),Newark Unified_Bridgepoint High (Continuation),tested,FALSE,1
Newark Unified,E. L. Musick Elementary,Newark Unified_E. L. Musick Elementary,tested,FALSE,1
Newark Unified,H. A. Snow Elementary,Newark Unified_H. A. Snow Elementary,tested,FALSE,1
Newark Unified,Birch Grove Intermediate ,Newark Unified_Birch Grove Intermediate,tested,FALSE,1
Newark Unified,Newark Memorial High,Newark Unified_Newark Memorial High,tested,FALSE,1
Newark Unified,August Schilling Elementary,Newark Unified_August Schilling Elementary,tested,FALSE,1
Newark Unified,James A. Graham Elementary,Newark Unified_James A. Graham Elementary,tested,FALSE,1
Newark Unified,Birch Grove Primary,Newark Unified_Birch Grove Primary,tested,FALSE,1
Fremont Unified,Warwick Elementary,Fremont Unified_Warwick Elementary,tested,FALSE,1
New Haven Unified,New Haven Adult,New Haven Unified_New Haven Adult,tested,FALSE,1
New Haven Unified,Decoto School for Independent Study,New Haven Unified_Decoto School for Independent Study,tested,FALSE,1
New Haven Unified,Tom Kitayama Elementary,New Haven Unified_Tom Kitayama Elementary,tested,FALSE,1
Fremont Unified,Brookvale Elementary,Fremont Unified_Brookvale Elementary,tested,FALSE,1
New Haven Unified,James Logan High,New Haven Unified_James Logan High,tested,FALSE,1
New Haven Unified,Pioneer Elementary,New Haven Unified_Pioneer Elementary,tested,FALSE,7
Fremont Unified,Patterson Elementary,Fremont Unified_Patterson Elementary,tested,FALSE,1
Fremont Unified,Oliveira Elementary,Fremont Unified_Oliveira Elementary,tested,FALSE,1
New Haven Unified,Itliong-Vera Cruz,New Haven Unified_Itliong-Vera Cruz,tested,FALSE,1
New Haven Unified,Delaine Eastin Elementary,New Haven Unified_Delaine Eastin Elementary,tested,FALSE,1
Fremont Unified,Thornton Junior High,Fremont Unified_Thornton Junior High,tested,FALSE,1
Fremont Unified,Parkmont Elementary,Fremont Unified_Parkmont Elementary,tested,FALSE,1
Fremont Unified,Glenmoor Elementary,Fremont Unified_Glenmoor Elementary,tested,FALSE,1
Fremont Unified,Tom Maloney Elementary,Fremont Unified_Tom Maloney Elementary,tested,FALSE,1
Fremont Unified,Circle of Independent Learning,Fremont Unified_Circle of Independent Learning,tested,FALSE,1
Fremont Unified,Young Adult Program,Fremont Unified_Young Adult Program,tested,FALSE,1
Fremont Unified,Fremont Adult,Fremont Unified_Fremont Adult,tested,FALSE,1
Mission Valley ROC/P,Mission Valley ROCP,Mission Valley ROC/P_Mission Valley ROCP,tested,FALSE,1
Fremont Unified,Brier Elementary,Fremont Unified_Brier Elementary,tested,FALSE,1
Fremont Unified,Glankler Early Learning Center,Fremont Unified_Glankler Early Learning Center,tested,FALSE,1
Fremont Unified,John F. Kennedy High,Fremont Unified_John F. Kennedy High,tested,FALSE,5
Fremont Unified,G. M. Walters Junior High,Fremont Unified_G. M. Walters Junior High,tested,FALSE,1
Fremont Unified,John G. Mattos Elementary,Fremont Unified_John G. Mattos Elementary,tested,FALSE,1
Fremont Unified,O. N. Hirsch Elementary,Fremont Unified_O. N. Hirsch Elementary,tested,FALSE,1
Fremont Unified,John M. Horner Junior High,Fremont Unified_John M. Horner Junior High,tested,FALSE,1
Fremont Unified,Joshua Chadbourne Elementary,Fremont Unified_Joshua Chadbourne Elementary,tested,FALSE,1
Fremont Unified,William Hopkins Junior High,Fremont Unified_William Hopkins Junior High,tested,FALSE,1
Fremont Unified,Harvey Green Elementary,Fremont Unified_Harvey Green Elementary,tested,FALSE,1
Fremont Unified,E. M. Grimmer Elementary,Fremont Unified_E. M. Grimmer Elementary,tested,FALSE,1
Fremont Unified,John Blacow Elementary,Fremont Unified_John Blacow Elementary,tested,FALSE,1
Fremont Unified,J. Haley Durham Elementary,Fremont Unified_J. Haley Durham Elementary,tested,FALSE,1
Fremont Unified,John Gomes Elementary,Fremont Unified_John Gomes Elementary,tested,FALSE,1
Fremont Unified,Steven Millard Elementary,Fremont Unified_Steven Millard Elementary,tested,FALSE,1
Fremont Unified,Mission San Jose Elementary,Fremont Unified_Mission San Jose Elementary,tested,FALSE,1
Fremont Unified,Mission Valley Elementary,Fremont Unified_Mission Valley Elementary,tested,FALSE,2
Fremont Unified,Robertson High (Continuation),Fremont Unified_Robertson High (Continuation),tested,FALSE,1
Fremont Unified,Vista Alternative,Fremont Unified_Vista Alternative,tested,FALSE,1
Fremont Unified,Mission San Jose High,Fremont Unified_Mission San Jose High,tested,FALSE,1
,Stratford School,_Stratford School,#N/A,FALSE,1
Fremont Unified,Fred E. Weibel Elementary,Fremont Unified_Fred E. Weibel Elementary,tested,FALSE,1
,Our Lady of Guadalupe,_Our Lady of Guadalupe,#N/A,FALSE,1
,Holy Spirit Elementary,_Holy Spirit Elementary,#N/A,FALSE,1
,St. Joseph Elementary,_St. Joseph Elementary,#N/A,FALSE,1
,Our Savior Lutheran School,_Our Savior Lutheran School,#N/A,FALSE,1
Livermore Valley Joint Unified,Del Valle Continuation High,Livermore Valley Joint Unified_Del Valle Continuation High,tested,FALSE,1
Livermore Valley Joint Unified,Emma C. Smith Elementary,Livermore Valley Joint Unified_Emma C. Smith Elementary,tested,FALSE,1
Livermore Valley Joint Unified,East Avenue Middle,Livermore Valley Joint Unified_East Avenue Middle,tested,FALSE,1
Livermore Valley Joint Unified,Granada High,Livermore Valley Joint Unified_Granada High,tested,FALSE,1
Livermore Valley Joint Unified,Jackson Avenue Elementary,Livermore Valley Joint Unified_Jackson Avenue Elementary,tested,FALSE,1
