DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Garden Grove Unified,Bryant Elementary,Garden Grove Unified_Bryant Elementary,#N/A,TRUE,4
Garden Grove Unified,Dwight D. Eisenhower Elementary,Garden Grove Unified_Dwight D. Eisenhower Elementary,#N/A,TRUE,3
Garden Grove Unified,Earl Warren Elementary,Garden Grove Unified_Earl Warren Elementary,#N/A,TRUE,3
Garden Grove Unified,Sunnyside Elementary,Garden Grove Unified_Sunnyside Elementary,#N/A,TRUE,4
Westminster,Sequoia Elementary,Westminster_Sequoia Elementary,#N/A,TRUE,9
Garden Grove Unified,Susan B. Anthony Elementary,Garden Grove Unified_Susan B. Anthony Elementary,#N/A,TRUE,5
Placentia-Yorba Linda Unified,Fairmont Elementary,Placentia-Yorba Linda Unified_Fairmont Elementary,#N/A,TRUE,2
Irvine Unified,Canyon View Elementary,Irvine Unified_Canyon View Elementary,#N/A,TRUE,2
Irvine Unified,Lakeside Middle,Irvine Unified_Lakeside Middle,#N/A,TRUE,3
Tustin Unified,Pioneer Middle,Tustin Unified_Pioneer Middle,#N/A,TRUE,3
Capistrano Unified,Chaparral Elementary,Capistrano Unified_Chaparral Elementary,#N/A,TRUE,6
Loomis Union Elementary,Franklin Elementary,Loomis Union Elementary_Franklin Elementary,#N/A,TRUE,14
Coachella Valley Unified,Cesar Chavez Elementary,Coachella Valley Unified_Cesar Chavez Elementary,#N/A,TRUE,6
Val Verde Unified,Lakeside Middle,Val Verde Unified_Lakeside Middle,#N/A,TRUE,3
Val Verde Unified,Sierra Vista Elementary,Val Verde Unified_Sierra Vista Elementary,#N/A,TRUE,6
Val Verde Unified,Columbia Elementary,Val Verde Unified_Columbia Elementary,#N/A,TRUE,6
Murrieta Valley Unified,Monte Vista Elementary,Murrieta Valley Unified_Monte Vista Elementary,#N/A,TRUE,9
Moreno Valley Unified,Ramona Elementary,Moreno Valley Unified_Ramona Elementary,#N/A,TRUE,6
Hemet Unified,Fruitvale Elementary,Hemet Unified_Fruitvale Elementary,#N/A,TRUE,2
